G_L,Opening_Balance,Debit,Credit,Closing_Balance,Total_Amount_in_local_cur,Difference_In_Activity,Exception2
11401000,15000000.0,2138201.0,0.0,17138201.0,0.0,2138201.0,Exception
11202200,0.0,0.0,1812035.0,-1812035.0,0.0,-1812035.0,Exception
21302630,0.0,0.0,326166.0,-326166.0,0.0,-326166.0,Exception
41001400,-4295306840.0,500000.0,1049132300.0,-5343939140.0,0.0,-1048632300.0,Exception
3500001,-3164019.0,55410257.0,103457461.0,-51211223.0,0.0,-48047204.0,Exception
52002500,2500000.0,3500000.0,0.0,6000000.0,0.0,3500000.0,Exception
